Model,Scenario,Region,Variable,Unit,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
IMAGE,ssp119,World,Emissions|CH4,Mt CH4/yr,87.61328845,88.39116711,89.26282464,89.89074057,91.35674943,92.40132432,93.24998316,94.56080194,95.71237193,96.4666946,97.77187103,98.42938116,99.26614632,100.6125584,102.2840587,103.0579197,104.0889435,105.4397415,106.7459316,108.095107,109.1336385,109.809348,110.4858104,112.2535641,112.633506,113.6704269,114.5456303,115.74748,116.7958666,118.0199977,119.6701788,119.9075078,121.4219873,122.3437659,123.9532999,124.8946044,126.4647048,127.1823371,127.905393,129.5013568,130.1349943,132.2180939,134.7060241,136.6296869,138.9310562,141.022964,142.7064022,144.7944965,147.2720295,150.2157149,152.2010084,155.2719352,160.5733576,165.6818323,170.3710079,174.7404471,180.6711175,186.0555677,188.3855399,192.6867573,197.2611005,205.1383413,207.2122992,216.1922656,216.556163,222.6664157,226.3106958,232.3331465,235.3354027,239.1848516,244.4183955,249.2895331,257.2102054,260.294725,261.8082771,263.0585486,269.9482097,274.0301524,276.3333545,281.6000656,283.3464702,279.7894207,287.6693154,281.6176584,285.0030452,285.6752697,290.8084488,295.0485147,298.6854951,302.1641744,305.2725547,318.7311921,299.4017955,299.4425141,310.2518368,305.4095889,307.2912075,331.2889198,315.3326212,309.4083709,310.1868098,312.8963787,322.2788312,328.1242242,338.9417722,346.3955546,356.4696896,355.0225755,360.4917105,364.2003634,370.8962528,372.6576832,380.8097666,381.5943928,387.8735392,388.0727957,,,,,358.9077547,,,,,,,,,,243.0270204,,,,,,,,,,200.6128619,,,,,,,,,,170.1968619,,,,,,,,,,157.5588972,,,,,,,,,,146.4597035,,,,,,,,,,132.2473973,,,,,,,,,,120.7643061,,,,,,,,,,111.7212461
IMAGE,ssp119,World,Emissions|CO2,Mt CO2/yr,4465.964118,4768.881211,4835.690374,5115.661449,5244.746846,5479.764123,5710.02176,6046.017596,5993.608873,6115.290592,6271.034671,6113.829366,6122.579082,6265.77241,5938.952989,5864.556462,6101.45338,6227.239689,6205.48845,5833.870141,6290.309927,6065.154041,6219.539618,6673.115779,6735.335735,6795.885288,6766.33348,7280.512887,7308.504363,7704.453865,7679.533788,7335.495983,6651.920781,6798.478465,7038.366964,7216.325137,7612.653059,7825.863317,7580.799501,7836.395431,8156.903938,8184.224899,8268.324116,8410.163203,8377.774642,7621.090604,8344.523463,9027.474124,9393.938985,9334.309155,10044.66935,11290.69099,11518.76401,11706.25609,12085.37713,12923.06379,13695.21983,14153.07212,14642.00173,14941.19786,15353.90678,15695.77643,16083.68449,16722.31763,17266.28028,17924.48137,18518.22743,19135.12072,19720.54151,20540.23517,21456.95682,21678.12813,22109.18551,23064.16218,22861.3745,22836.19669,23873.37797,24612.35105,25215.439,25589.01092,25266.66414,24889.46718,24681.4932,25343.62707,25945.12239,26305.73628,26803.40164,27328.50313,28027.36201,28374.72758,27966.71914,28681.58913,28688.84032,28363.26228,28376.6822,28815.25236,29248.04657,32092.80975,29798.19682,29186.43353,29661.88015,29018.34355,29933.39529,30509.19137,32433.49191,33416.62986,34631.86563,35352.2328,34451.21047,34225.39115,36133.83606,37266.02926,37953.91187,38762.71103,39630.94805,39152.7263,,,,,39693.72645,,,,,,,,,,22847.27092,,,,,,,,,,10475.08882,,,,,,,,,,2050.361558,,,,,,,,,,-1525.978317,,,,,,,,,,-4476.970149,,,,,,,,,,-7308.782579,,,,,,,,,,-10565.02283,,,,,,,,,,-13889.78755
IMAGE,ssp119,World,Emissions|N2O,kt N2O/yr,1356.16296,1369.103372,1384.515481,1399.355378,1415.597756,1432.563082,1449.951799,1466.751575,1483.124656,1499.100897,1515.944833,1533.705815,1559.234255,1589.117029,1621.623061,1656.958176,1693.364385,1728.658905,1761.607495,1791.469847,1818.808186,1843.606981,1867.742389,1893.417388,1920.280893,1944.746823,1968.032742,1990.269408,2010.725377,2028.074719,2043.067781,2053.983826,2064.648995,2073.559632,2083.434567,2093.473152,2103.273406,2115.583882,2129.097792,2147.484085,2167.531925,2242.12032,2403.563698,2636.053052,2912.496904,3215.873034,3522.872151,3815.763525,4068.702451,4264.104068,4378.498715,4447.58005,4514.631057,4585.338771,4658.918556,4738.573836,4819.784587,4906.311841,5002.815188,5106.721646,5222.367036,5570.292269,5779.894618,5976.276518,6199.344235,6465.560236,6773.507547,7041.513558,7256.009223,7435.615436,7406.667102,7327.060018,7746.900966,7935.570129,7909.792367,8180.647431,8409.325613,8640.444045,8837.869319,9123.755918,9227.258503,9121.12527,9494.515703,9530.292753,9421.16412,9421.444217,9620.413269,9977.117278,9722.719932,9842.472009,9862.303869,9968.816852,9990.075747,9915.093855,10121.0314,10218.83369,10278.76332,10590.22033,10128.40716,9868.586122,9603.187087,9722.247312,9991.772281,10099.78688,10354.57088,10516.57055,10802.56173,10363.48133,10429.68145,10546.74194,10539.817,10446.42833,10593.89773,10759.04688,10866.28352,10900,,,,,10706.38483,,,,,,,,,,8393.759091,,,,,,,,,,8376.573664,,,,,,,,,,8073.585197,,,,,,,,,,7941.611765,,,,,,,,,,7958.151734,,,,,,,,,,7978.923965,,,,,,,,,,8204.736256,,,,,,,,,,8339.071915
IMAGE,ssp126,World,Emissions|CH4,Mt CH4/yr,87.61328845,88.39116711,89.26282464,89.89074057,91.35674943,92.40132432,93.24998316,94.56080194,95.71237193,96.4666946,97.77187103,98.42938116,99.26614632,100.6125584,102.2840587,103.0579197,104.0889435,105.4397415,106.7459316,108.095107,109.1336385,109.809348,110.4858104,112.2535641,112.633506,113.6704269,114.5456303,115.74748,116.7958666,118.0199977,119.6701788,119.9075078,121.4219873,122.3437659,123.9532999,124.8946044,126.4647048,127.1823371,127.905393,129.5013568,130.1349943,132.2180939,134.7060241,136.6296869,138.9310562,141.022964,142.7064022,144.7944965,147.2720295,150.2157149,152.2010084,155.2719352,160.5733576,165.6818323,170.3710079,174.7404471,180.6711175,186.0555677,188.3855399,192.6867573,197.2611005,205.1383413,207.2122992,216.1922656,216.556163,222.6664157,226.3106958,232.3331465,235.3354027,239.1848516,244.4183955,249.2895331,257.2102054,260.294725,261.8082771,263.0585486,269.9482097,274.0301524,276.3333545,281.6000656,283.3464702,279.7894207,287.6693154,281.6176584,285.0030452,285.6752697,290.8084488,295.0485147,298.6854951,302.1641744,305.2725547,318.7311921,299.4017955,299.4425141,310.2518368,305.4095889,307.2912075,331.2889198,315.3326212,309.4083709,310.1868098,312.8963787,322.2788312,328.1242242,338.9417722,346.3955546,356.4696896,355.0225755,360.4917105,364.2003634,370.8962528,372.6576832,380.8097666,381.5943928,387.8735392,388.0727957,,,,,347.490968,,,,,,,,,,285.8521086,,,,,,,,,,242.7901478,,,,,,,,,,211.1087996,,,,,,,,,,190.8915413,,,,,,,,,,166.4363118,,,,,,,,,,139.3121684,,,,,,,,,,130.1296863,,,,,,,,,,122.1953429
IMAGE,ssp126,World,Emissions|CO2,Mt CO2/yr,4465.964118,4768.881211,4835.690374,5115.661449,5244.746846,5479.764123,5710.02176,6046.017596,5993.608873,6115.290592,6271.034671,6113.829366,6122.579082,6265.77241,5938.952989,5864.556462,6101.45338,6227.239689,6205.48845,5833.870141,6290.309927,6065.154041,6219.539618,6673.115779,6735.335735,6795.885288,6766.33348,7280.512887,7308.504363,7704.453865,7679.533788,7335.495983,6651.920781,6798.478465,7038.366964,7216.325137,7612.653059,7825.863317,7580.799501,7836.395431,8156.903938,8184.224899,8268.324116,8410.163203,8377.774642,7621.090604,8344.523463,9027.474124,9393.938985,9334.309155,10044.66935,11290.69099,11518.76401,11706.25609,12085.37713,12923.06379,13695.21983,14153.07212,14642.00173,14941.19786,15353.90678,15695.77643,16083.68449,16722.31763,17266.28028,17924.48137,18518.22743,19135.12072,19720.54151,20540.23517,21456.95682,21678.12813,22109.18551,23064.16218,22861.3745,22836.19669,23873.37797,24612.35105,25215.439,25589.01092,25266.66414,24889.46718,24681.4932,25343.62707,25945.12239,26305.73628,26803.40164,27328.50313,28027.36201,28374.72758,27966.71914,28681.58913,28688.84032,28363.26228,28376.6822,28815.25236,29248.04657,32092.80975,29798.19682,29186.43353,29661.88015,29018.34355,29933.39529,30509.19137,32433.49191,33416.62986,34631.86563,35352.2328,34451.21047,34225.39115,36133.83606,37266.02926,37953.91187,38762.71103,39630.94805,39152.7263,,,,,39804.01343,,,,,,,,,,34734.42365,,,,,,,,,,26509.18269,,,,,,,,,,17963.53911,,,,,,,,,,10527.97866,,,,,,,,,,4476.328323,,,,,,,,,,-3285.043271,,,,,,,,,,-8385.182965,,,,,,,,,,-8617.78622
IMAGE,ssp126,World,Emissions|N2O,kt N2O/yr,1356.16296,1369.103372,1384.515481,1399.355378,1415.597756,1432.563082,1449.951799,1466.751575,1483.124656,1499.100897,1515.944833,1533.705815,1559.234255,1589.117029,1621.623061,1656.958176,1693.364385,1728.658905,1761.607495,1791.469847,1818.808186,1843.606981,1867.742389,1893.417388,1920.280893,1944.746823,1968.032742,1990.269408,2010.725377,2028.074719,2043.067781,2053.983826,2064.648995,2073.559632,2083.434567,2093.473152,2103.273406,2115.583882,2129.097792,2147.484085,2167.531925,2242.12032,2403.563698,2636.053052,2912.496904,3215.873034,3522.872151,3815.763525,4068.702451,4264.104068,4378.498715,4447.58005,4514.631057,4585.338771,4658.918556,4738.573836,4819.784587,4906.311841,5002.815188,5106.721646,5222.367036,5570.292269,5779.894618,5976.276518,6199.344235,6465.560236,6773.507547,7041.513558,7256.009223,7435.615436,7406.667102,7327.060018,7746.900966,7935.570129,7909.792367,8180.647431,8409.325613,8640.444045,8837.869319,9123.755918,9227.258503,9121.12527,9494.515703,9530.292753,9421.16412,9421.444217,9620.413269,9977.117278,9722.719932,9842.472009,9862.303869,9968.816852,9990.075747,9915.093855,10121.0314,10218.83369,10278.76332,10590.22033,10128.40716,9868.586122,9603.187087,9722.247312,9991.772281,10099.78688,10354.57088,10516.57055,10802.56173,10363.48133,10429.68145,10546.74194,10539.817,10446.42833,10593.89773,10759.04688,10866.28352,10900,,,,,10284.46531,,,,,,,,,,8911.222121,,,,,,,,,,8215.966059,,,,,,,,,,7941.228624,,,,,,,,,,7824.673181,,,,,,,,,,7824.800801,,,,,,,,,,8025.501323,,,,,,,,,,8544.293734,,,,,,,,,,8357.017506
MESSAGE,rcp85,World,Emissions|CH4,Mt CH4/yr,123.73905,124.8415,125.94396,127.04642,128.14887,129.25133,130.35378,131.45624,132.5587,133.66115,134.76361,135.96943,137.17525,138.38107,139.5869,140.79272,141.99854,143.20436,144.41019,145.61601,146.82183,147.86155,148.90128,149.941,150.98072,152.02045,153.06017,154.09989,155.13962,156.17934,157.21906,158.34545,159.47183,160.59821,161.7246,162.85098,163.97736,165.10375,166.23013,167.35651,168.4829,170.03046,171.57803,173.12559,174.67315,176.22072,177.76828,179.31584,180.86341,182.41097,183.95853,189.11003,194.26153,199.41303,204.56453,209.71603,214.86753,220.01902,225.17052,230.32202,235.47352,238.52217,241.57083,244.61948,247.66813,250.71679,253.76544,256.81409,259.86274,262.9114,265.96005,270.02505,274.09004,278.15504,282.22003,286.28503,290.35002,294.41502,298.48002,302.54501,306.61001,310.01251,313.415,316.8175,320.22,323.6225,327.025,330.42749,333.82999,337.23249,340.63499,336.59218,332.54937,328.50656,324.46375,320.42094,316.37814,312.33533,308.29252,304.24971,300.2069,303.4092,306.5788,309.7164,312.824,315.9027,322.1577,328.4342,334.75397,341.07373,347.3935,354.56076,361.72802,368.89528,376.06254,383.2298,390.39706,397.56432,404.73158,411.89884,419.0661,425.58022,432.09434,438.60846,445.12258,451.6367,458.15082,464.66494,471.17906,477.69318,484.2073,493.52545,502.8436,512.16175,521.4799,530.79805,540.1162,549.43435,558.7525,568.07065,577.3888,587.33132,597.27384,607.21636,617.15888,627.1014,637.04392,646.98644,656.92896,666.87148,676.814,683.65001,690.48602,697.32203,704.15804,710.99405,717.83006,724.66607,731.50208,738.33809,745.1741,748.66794,752.16178,755.65562,759.14946,762.6433,766.13714,769.63098,773.12482,776.61866,780.1125,784.24064,788.36878,792.49692,796.62506,800.7532,804.88134,809.00948,813.13762,817.26576,821.3939,826.32941,831.26492,836.20043,841.13594,846.07145,851.00696,855.94247,860.87798,865.81349,870.749,872.43319,874.11738,875.80157,877.48576,879.16995,880.85414,882.53833,884.22252,885.90671,887.5909
MESSAGE,rcp85,World,Emissions|CO2,Mt CO2/yr,4353.089657,4601.45829,4652.90331,4926.793483,5031.741843,5253.655733,5512.957377,5821.796677,5725.180157,5875.38622,6016.932827,5921.278147,5965.11091,6108.592453,5737.56887,5660.41531,5900.093723,6109.386397,6051.11562,5594.065913,6062.039023,5721.527533,5840.783263,6318.723327,6306.15546,6354.65798,6396.43862,6817.00371,6837.128503,7220.49537,7145.892417,6758.916303,6083.82852,6239.15776,6489.496017,6679.624417,7081.433077,7291.896407,7054.234807,7228.62712,7574.71869,7642.670127,7740.515567,7900.8072,7888.46168,7073.54043,7627.212707,8294.65978,8595.144947,8437.463503,9248.560383,10473.90703,10654.00527,10800.22937,11062.85253,11858.68017,12549.8571,12986.86327,13381.79957,13440.51757,13820.70543,14073.8466,14430.42957,15005.08057,15618.48897,16167.27127,16861.88827,17264.9598,17685.07693,18474.08897,19334.7473,19440.2681,19968.89437,20783.0282,20836.7027,20704.15453,21903.22823,22450.9538,22716.35667,23656.2799,23309.76853,22780.49437,23163.82017,23230.24037,24016.9721,24637.59797,25289.74177,25839.03153,26695.99093,27179.6932,27366.10543,27925.25963,27212.27813,27214.36887,27615.85053,28039.03813,28457.37583,28736.1789,28610.4247,28423.22707,28907.26667,29435.63333,29995.9,31209.56667,32687.6,33610.5,34197.16667,34786.4,35375.63333,35964.86667,36554.1,37461.49,38368.88,39276.27,40183.66,41091.05,41998.44,42905.83,43813.22,44720.61,45628,46401.70333,47175.40667,47949.11,48722.81333,49496.51667,50270.22,51043.92333,51817.62667,52591.33,53365.03333,54420.11667,55475.2,56530.28333,57585.36667,58640.45,59695.53333,60750.61667,61805.7,62860.78333,63915.86667,65143.83333,66371.8,67599.76667,68827.73333,70055.7,71283.66667,72511.63333,73739.6,74967.56667,76195.53333,77411.58333,78627.63333,79843.68333,81059.73333,82275.78333,83491.83333,84707.88333,85923.93333,87139.98333,88356.03333,89190.97,90025.90667,90860.84333,91695.78,92530.71667,93365.65333,94200.59,95035.52667,95870.46333,96705.4,97197.06333,97688.72667,98180.39,98672.05333,99163.71667,99655.38,100147.0433,100638.7067,101130.37,101622.0333,101921.0867,102220.14,102519.1933,102818.2467,103117.3,103416.3533,103715.4067,104014.46,104313.5133,104612.5667,104717.5433,104822.52,104927.4967,105032.4733,105137.45,105242.4267,105347.4033,105452.38,105557.3567,105662.3333
MESSAGE,rcp85,World,Emissions|N2O,kt N2O/yr,1465.392029,1484.476557,1508.46245,1536.302554,1567.074206,1599.917471,1633.879186,1668.006371,1701.3458,1732.944557,1761.849571,1789.813457,1819.022229,1849.172914,1879.838871,1910.612471,1941.219814,1971.387,2000.839971,2029.304986,2056.507986,2083.388057,2110.860714,2138.617643,2167.973343,2199.838771,2233.299986,2267.4432,2301.354314,2334.119543,2364.8251,2392.694229,2417.669886,2439.917229,2459.7771,2478.333471,2496.866586,2516.656686,2538.983857,2565.1285,2596.370543,2671.749771,2818.9249,3022.105743,3279.0681,3583.488857,3913.428357,4246.947729,4562.107786,4836.9706,5049.5995,5214.946157,5360.309586,5482.277586,5585.405414,5679.317286,5768.211586,5856.292829,5947.770871,6046.859186,6157.772814,6323.436743,6574.303529,6895.918386,7287.451757,7694.999871,8164.487571,8576.036857,8831.026286,9090.448714,9329.375314,8807.819271,9299.919986,9499.135329,9335.228886,9650.094614,9906.6924,10268.35071,10401.8717,11012.21471,11096.47361,10751.32489,11186.97769,11340.8383,11075.63506,11026.59533,11110.77267,11725.48583,11318.22639,11520.20524,11920.35617,11632.28487,12255.46504,11492.01963,11797.16073,11972.87693,12024.67169,12429.61123,12407.5699,11828.11913,11717.51429,11790.42857,11862.24286,11933.74286,12004.77143,12075.01429,12222.57143,12369.81429,12517.00481,12664.19519,12811.38571,13031.79429,13252.20286,13472.61143,13693.02,13913.42857,14133.83714,14354.24571,14574.65429,14795.06286,15015.47143,15207.76714,15400.06286,15592.35857,15784.65429,15976.95,16169.24571,16361.54143,16553.83714,16746.13286,16938.42857,17134.71571,17331.00286,17527.29,17723.57714,17919.86429,18116.15143,18312.43857,18508.72571,18705.01286,18901.3,19021.95429,19142.60857,19263.26286,19383.91714,19504.57143,19625.22571,19745.88,19866.53429,19987.18857,20107.84286,20206.16714,20304.49143,20402.81571,20501.14,20599.46429,20697.78857,20796.11286,20894.43714,20992.76143,21091.08571,21172.58,21254.07429,21335.56857,21417.06286,21498.55714,21580.05143,21661.54571,21743.04,21824.53429,21906.02857,22003.20571,22100.38286,22197.56,22294.73714,22391.91429,22489.09143,22586.26857,22683.44571,22780.62286,22877.8,22993.15857,23108.51714,23223.87571,23339.23429,23454.59286,23569.95143,23685.31,23800.66857,23916.02714,24031.38571,24107.27,24183.15429,24259.03857,24334.92286,24410.80714,24486.69143,24562.57571,24638.46,24714.34429,24790.22857
MESSAGE-GLOBIOM,ssp245,World,Emissions|CH4,Mt CH4/yr,87.61328845,88.39116711,89.26282464,89.89074057,91.35674943,92.40132432,93.24998316,94.56080194,95.71237193,96.4666946,97.77187103,98.42938116,99.26614632,100.6125584,102.2840587,103.0579197,104.0889435,105.4397415,106.7459316,108.095107,109.1336385,109.809348,110.4858104,112.2535641,112.633506,113.6704269,114.5456303,115.74748,116.7958666,118.0199977,119.6701788,119.9075078,121.4219873,122.3437659,123.9532999,124.8946044,126.4647048,127.1823371,127.905393,129.5013568,130.1349943,132.2180939,134.7060241,136.6296869,138.9310562,141.022964,142.7064022,144.7944965,147.2720295,150.2157149,152.2010084,155.2719352,160.5733576,165.6818323,170.3710079,174.7404471,180.6711175,186.0555677,188.3855399,192.6867573,197.2611005,205.1383413,207.2122992,216.1922656,216.556163,222.6664157,226.3106958,232.3331465,235.3354027,239.1848516,244.4183955,249.2895331,257.2102054,260.294725,261.8082771,263.0585486,269.9482097,274.0301524,276.3333545,281.6000656,283.3464702,279.7894207,287.6693154,281.6176584,285.0030452,285.6752697,290.8084488,295.0485147,298.6854951,302.1641744,305.2725547,318.7311921,299.4017955,299.4425141,310.2518368,305.4095889,307.2912075,331.2889198,315.3326212,309.4083709,310.1868098,312.8963787,322.2788312,328.1242242,338.9417722,346.3955546,356.4696896,355.0225755,360.4917105,364.2003634,370.8962528,372.6576832,380.8097666,381.5943928,387.8735392,388.0727957,,,,,388.0905727,,,,,,,,,,399.4462451,,,,,,,,,,382.7967462,,,,,,,,,,357.1669388,,,,,,,,,,329.3214364,,,,,,,,,,316.6390397,,,,,,,,,,302.9072835,,,,,,,,,,298.816324,,,,,,,,,,295.1529366
MESSAGE-GLOBIOM,ssp245,World,Emissions|CO2,Mt CO2/yr,4465.964118,4768.881211,4835.690374,5115.661449,5244.746846,5479.764123,5710.02176,6046.017596,5993.608873,6115.290592,6271.034671,6113.829366,6122.579082,6265.77241,5938.952989,5864.556462,6101.45338,6227.239689,6205.48845,5833.870141,6290.309927,6065.154041,6219.539618,6673.115779,6735.335735,6795.885288,6766.33348,7280.512887,7308.504363,7704.453865,7679.533788,7335.495983,6651.920781,6798.478465,7038.366964,7216.325137,7612.653059,7825.863317,7580.799501,7836.395431,8156.903938,8184.224899,8268.324116,8410.163203,8377.774642,7621.090604,8344.523463,9027.474124,9393.938985,9334.309155,10044.66935,11290.69099,11518.76401,11706.25609,12085.37713,12923.06379,13695.21983,14153.07212,14642.00173,14941.19786,15353.90678,15695.77643,16083.68449,16722.31763,17266.28028,17924.48137,18518.22743,19135.12072,19720.54151,20540.23517,21456.95682,21678.12813,22109.18551,23064.16218,22861.3745,22836.19669,23873.37797,24612.35105,25215.439,25589.01092,25266.66414,24889.46718,24681.4932,25343.62707,25945.12239,26305.73628,26803.40164,27328.50313,28027.36201,28374.72758,27966.71914,28681.58913,28688.84032,28363.26228,28376.6822,28815.25236,29248.04657,32092.80975,29798.19682,29186.43353,29661.88015,29018.34355,29933.39529,30509.19137,32433.49191,33416.62986,34631.86563,35352.2328,34451.21047,34225.39115,36133.83606,37266.02926,37953.91187,38762.71103,39630.94805,39152.7263,,,,,40647.5299,,,,,,,,,,43476.06255,,,,,,,,,,44252.90003,,,,,,,,,,43462.19004,,,,,,,,,,40196.48483,,,,,,,,,,35235.43373,,,,,,,,,,26838.37345,,,,,,,,,,16324.39156,,,,,,,,,,9682.858794
MESSAGE-GLOBIOM,ssp245,World,Emissions|N2O,kt N2O/yr,1356.16296,1369.103372,1384.515481,1399.355378,1415.597756,1432.563082,1449.951799,1466.751575,1483.124656,1499.100897,1515.944833,1533.705815,1559.234255,1589.117029,1621.623061,1656.958176,1693.364385,1728.658905,1761.607495,1791.469847,1818.808186,1843.606981,1867.742389,1893.417388,1920.280893,1944.746823,1968.032742,1990.269408,2010.725377,2028.074719,2043.067781,2053.983826,2064.648995,2073.559632,2083.434567,2093.473152,2103.273406,2115.583882,2129.097792,2147.484085,2167.531925,2242.12032,2403.563698,2636.053052,2912.496904,3215.873034,3522.872151,3815.763525,4068.702451,4264.104068,4378.498715,4447.58005,4514.631057,4585.338771,4658.918556,4738.573836,4819.784587,4906.311841,5002.815188,5106.721646,5222.367036,5570.292269,5779.894618,5976.276518,6199.344235,6465.560236,6773.507547,7041.513558,7256.009223,7435.615436,7406.667102,7327.060018,7746.900966,7935.570129,7909.792367,8180.647431,8409.325613,8640.444045,8837.869319,9123.755918,9227.258503,9121.12527,9494.515703,9530.292753,9421.16412,9421.444217,9620.413269,9977.117278,9722.719932,9842.472009,9862.303869,9968.816852,9990.075747,9915.093855,10121.0314,10218.83369,10278.76332,10590.22033,10128.40716,9868.586122,9603.187087,9722.247312,9991.772281,10099.78688,10354.57088,10516.57055,10802.56173,10363.48133,10429.68145,10546.74194,10539.817,10446.42833,10593.89773,10759.04688,10866.28352,10900,,,,,11322.85283,,,,,,,,,,12208.75123,,,,,,,,,,12623.76738,,,,,,,,,,12586.93918,,,,,,,,,,12218.56903,,,,,,,,,,11545.71931,,,,,,,,,,10362.63632,,,,,,,,,,9524.759817,,,,,,,,,,8732.334443
MiniCAM,rcp45,World,Emissions|CH4,Mt CH4/yr,123.73905,124.8415,125.94396,127.04642,128.14887,129.25133,130.35378,131.45624,132.5587,133.66115,134.76361,135.96943,137.17525,138.38107,139.5869,140.79272,141.99854,143.20436,144.41019,145.61601,146.82183,147.86155,148.90128,149.941,150.98072,152.02045,153.06017,154.09989,155.13962,156.17934,157.21906,158.34545,159.47183,160.59821,161.7246,162.85098,163.97736,165.10375,166.23013,167.35651,168.4829,170.03046,171.57803,173.12559,174.67315,176.22072,177.76828,179.31584,180.86341,182.41097,183.95853,189.11003,194.26153,199.41303,204.56453,209.71603,214.86753,220.01902,225.17052,230.32202,235.47352,238.52217,241.57083,244.61948,247.66813,250.71679,253.76544,256.81409,259.86274,262.9114,265.96005,270.02505,274.09004,278.15504,282.22003,286.28503,290.35002,294.41502,298.48002,302.54501,306.61001,310.01251,313.415,316.8175,320.22,323.6225,327.025,330.42749,333.82999,337.23249,340.63499,336.59218,332.54937,328.50656,324.46375,320.42094,316.37814,312.33533,308.29252,304.24971,300.2069,303.4092,306.5788,309.7164,312.824,315.9027,317.2396,318.5722,319.8964,321.2206,322.5448,323.84112,325.13744,326.43376,327.73008,329.0264,330.32272,331.61904,332.91536,334.21168,335.508,335.85701,336.20602,336.55503,336.90404,337.25305,337.60206,337.95107,338.30008,338.64909,338.9981,338.85573,338.71336,338.57099,338.42862,338.28625,338.14388,338.00151,337.85914,337.71677,337.5744,336.95066,336.32692,335.70318,335.07944,334.4557,333.83196,333.20822,332.58448,331.96074,331.337,329.96427,328.59154,327.21881,325.84608,324.47335,323.10062,321.72789,320.35516,318.98243,317.6097,315.92522,314.24074,312.55626,310.87178,309.1873,307.50282,305.81834,304.13386,302.44938,300.7649,298.76876,296.77262,294.77648,292.78034,290.7842,288.78806,286.79192,284.79578,282.79964,280.8035,280.06659,279.32968,278.59277,277.85586,277.11895,276.38204,275.64513,274.90822,274.17131,273.4344,272.69682,271.95924,271.22166,270.48408,269.7465,269.00892,268.27134,267.53376,266.79618,266.0586
